,loss
0,76.56249237060547
1,73.47306823730469
2,81.32170104980469
3,56.13420867919922
4,71.05200958251953
5,67.85421752929688
6,56.147212982177734
7,49.93564987182617
8,45.85276412963867
9,44.10654067993164
10,47.51270294189453
11,39.38969421386719
12,39.32603073120117
13,60.35032653808594
14,52.299835205078125
15,37.99364471435547
16,39.895477294921875
17,37.93012619018555
18,37.83145523071289
19,40.85508346557617
20,34.70168685913086
21,34.38301467895508
22,42.87680435180664
23,39.46509552001953
24,38.27030563354492
25,36.910804748535156
26,35.721153259277344
27,34.44581985473633
28,36.47322082519531
29,33.25894546508789
30,38.09785842895508
31,34.747711181640625
32,29.352035522460938
33,33.09919738769531
34,27.468061447143555
35,30.402013778686523
36,26.783926010131836
37,32.40919876098633
38,32.15248489379883
39,35.571563720703125
40,32.37158203125
41,36.19426345825195
42,28.104707717895508
43,27.84575080871582
44,27.369525909423828
45,33.36997985839844
46,31.521434783935547
47,34.4197998046875
48,34.14734649658203
49,32.15400695800781
50,32.99310302734375
51,30.645158767700195
52,31.99106788635254
53,28.9786434173584
54,30.955293655395508
55,28.743526458740234
56,30.456405639648438
57,30.1678409576416
58,32.70924377441406
59,27.440887451171875
60,26.515037536621094
61,28.552837371826172
62,25.167356491088867
63,25.58393669128418
64,26.29252052307129
65,27.70649528503418
66,32.094810485839844
67,29.23265266418457
68,25.228988647460938
69,23.357093811035156
70,31.68979263305664
71,29.837448120117188
72,27.81641387939453
73,25.53586196899414
74,26.548927307128906
75,26.83275604248047
76,24.443300247192383
77,27.37038230895996
78,27.20159912109375
79,26.01175880432129
80,30.35598373413086
81,25.638643264770508
82,30.615684509277344
83,26.477556228637695
84,29.273683547973633
85,25.53653335571289
86,31.00175666809082
87,23.45116424560547
88,24.823570251464844
89,27.089614868164062
90,28.503707885742188
91,25.250822067260742
92,23.265005111694336
93,27.124202728271484
94,29.324262619018555
95,24.42951011657715
96,28.203821182250977
97,24.707902908325195
98,26.63129234313965
99,26.27231788635254
100,22.265962600708008
101,27.526145935058594
102,22.690725326538086
103,26.300355911254883
104,30.000667572021484
105,24.601186752319336
106,31.00999641418457
107,22.92134666442871
108,22.06296157836914
109,26.32891273498535
110,27.441761016845703
111,24.30682945251465
112,23.74538230895996
113,25.66826057434082
114,26.825349807739258
115,23.268587112426758
116,25.3648624420166
117,26.08814811706543
118,21.499637603759766
119,24.694154739379883
120,21.639129638671875
121,28.470535278320312
122,22.398666381835938
123,30.752426147460938
124,22.08466339111328
125,24.585599899291992
126,24.865861892700195
127,28.95201301574707
128,23.304866790771484
129,21.650434494018555
130,24.583459854125977
131,21.18058204650879
132,22.485979080200195
133,23.432565689086914
134,24.961700439453125
135,26.532997131347656
136,22.4851131439209
137,25.2384090423584
138,24.947500228881836
139,22.132692337036133
140,26.652774810791016
141,22.255722045898438
142,25.47858428955078
143,25.17237663269043
144,24.388957977294922
145,20.962629318237305
146,28.019277572631836
147,23.522722244262695
148,21.967626571655273
149,24.565937042236328
150,21.419889450073242
151,26.652141571044922
152,22.06509780883789
153,22.042978286743164
154,29.474496841430664
155,21.531570434570312
156,23.20639419555664
157,23.585187911987305
158,21.388334274291992
159,25.18998146057129
160,22.150184631347656
161,23.002939224243164
162,23.752920150756836
163,20.91982650756836
164,21.41071891784668
165,23.61446762084961
166,23.938533782958984
167,23.183242797851562
168,21.349491119384766
169,22.799619674682617
170,23.33599090576172
171,26.039302825927734
172,20.4648380279541
173,26.40142822265625
174,20.611623764038086
175,21.654027938842773
176,21.198429107666016
177,23.912471771240234
178,23.89359474182129
179,21.6246337890625
180,20.00116539001465
181,22.76871681213379
182,22.479732513427734
183,19.15403175354004
184,26.064802169799805
185,22.915992736816406
186,21.886337280273438
187,21.207340240478516
188,23.048751831054688
189,20.889896392822266
190,22.578441619873047
191,23.07594871520996
192,20.957368850708008
193,26.38027572631836
194,19.081714630126953
195,22.75090217590332
196,19.646282196044922
197,22.829498291015625
198,20.714656829833984
199,20.632347106933594
